timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T13:25:43.500801,56,move_left,255.0,201.0,dx=-43.5px
2026-06-12T13:25:43.772326,64,move_left,182.5,195.5,dx=-36.0px
2026-06-12T13:25:44.043500,72,move_left,117.0,184.0,dx=-38.5px
2026-06-12T13:25:44.948728,100,move_right,107.5,189.5,dx=22.0px
2026-06-12T13:25:45.219395,108,move_right,180.0,198.5,dx=36.5px
2026-06-12T13:25:46.188657,136,move_left,117.0,188.0,dx=-133.5px
2026-06-12T13:25:46.587299,148,smile,84.0,177.5,
2026-06-12T13:25:48.203967,196,move_right,223.0,202.0,dx=139.0px
2026-06-12T13:25:48.204697,196,move_down,223.0,202.0,dy=24.5px
2026-06-12T13:25:48.732127,212,move_left,226.0,202.5,dx=-38.5px
2026-06-12T13:25:49.004324,220,move_left,186.5,196.5,dx=-41.5px
2026-06-12T13:25:49.275529,228,move_left,117.0,186.5,dx=-35.0px
2026-06-12T13:25:50.353512,260,blink,185.0,196.0,
2026-06-12T13:25:50.353947,260,move_right,185.0,196.0,dx=66.0px
2026-06-12T13:25:51.396033,292,move_left,118.0,188.0,dx=-67.0px
2026-06-12T13:25:52.339669,320,move_right,175.5,193.0,dx=57.5px
2026-06-12T13:25:52.868300,336,move_left,139.0,195.5,dx=-36.5px
2026-06-12T13:25:54.211070,376,move_right,181.5,185.5,dx=23.0px
2026-06-12T13:25:54.739596,392,move_left,135.0,166.5,dx=-71.5px
2026-06-12T13:25:54.883166,396,smile,107.0,160.5,
