timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T16:26:13.471601,100,smile,286.5,225.5,
2026-06-12T16:26:13.743863,108,move_left,235.5,223.5,dx=-37.0px
2026-06-12T16:26:13.876194,112,smile,192.5,224.5,
2026-06-12T16:26:13.999192,116,move_left,159.5,225.5,dx=-33.0px
2026-06-12T16:26:14.271543,124,smile,139.0,227.0,
2026-06-12T16:26:14.672066,136,smile,154.0,226.0,
2026-06-12T16:26:15.071136,148,smile,159.5,227.0,
2026-06-12T16:26:15.490524,160,smile,163.0,229.0,
2026-06-12T16:26:15.895734,172,smile,161.5,228.5,
2026-06-12T16:26:16.287850,184,smile,161.5,227.5,
2026-06-12T16:26:17.231658,212,smile,161.5,225.5,
2026-06-12T16:26:17.687931,224,smile,164.0,221.5,
2026-06-12T16:26:17.918540,228,move_right,195.5,214.5,dx=31.5px
2026-06-12T16:26:18.352532,236,move_right,307.5,219.0,dx=62.0px
2026-06-12T16:26:27.010602,388,smile,382.0,235.5,
2026-06-12T16:26:27.011622,388,move_right,382.0,235.5,dx=68.5px
2026-06-12T16:26:27.445153,396,move_left,376.0,234.5,dx=-28.5px
2026-06-12T16:26:27.680217,400,move_down,312.0,258.5,dy=24.0px
2026-06-12T16:26:27.917541,404,move_left,275.5,266.0,dx=-36.5px
2026-06-12T16:26:28.385102,412,move_right,315.5,252.5,dx=27.0px
2026-06-12T16:26:31.762984,468,move_up,312.5,235.5,dy=-21.0px
2026-06-12T16:26:33.492904,496,smile,315.0,232.0,
2026-06-12T16:26:34.818629,520,move_right,358.0,236.0,dx=31.5px
2026-06-12T16:26:35.248539,528,smile,438.5,232.0,
2026-06-12T16:26:35.249187,528,move_right,438.5,232.0,dx=42.5px
2026-06-12T16:26:35.965195,540,smile,451.0,221.5,
2026-06-12T16:26:36.216845,544,move_left,422.5,233.5,dx=-28.5px
2026-06-12T16:26:36.657521,552,smile,384.5,241.0,
2026-06-12T16:26:38.197707,576,smile,390.5,226.0,
2026-06-12T16:26:38.872494,588,smile,398.5,225.5,
2026-06-12T16:26:39.647952,600,smile,404.5,226.0,
2026-06-12T16:26:40.334566,612,smile,405.5,225.5,
2026-06-12T16:26:40.992905,624,smile,407.0,228.0,
2026-06-12T16:26:44.470854,684,smile,399.0,227.0,
2026-06-12T16:26:45.985658,712,blink,362.5,234.0,
2026-06-12T16:26:45.986492,712,smile,362.5,234.0,
2026-06-12T16:26:45.987041,712,move_left,362.5,234.0,dx=-46.0px
2026-06-12T16:26:46.720146,724,blink,303.0,243.0,
2026-06-12T16:26:46.720773,724,smile,303.0,243.0,
2026-06-12T16:26:46.934628,728,move_right,346.0,246.0,dx=43.0px
2026-06-12T16:26:50.496067,792,blink,362.0,251.0,
2026-06-12T16:26:50.749230,796,move_left,283.0,238.0,dx=-79.0px
2026-06-12T16:26:51.219637,804,move_right,320.5,228.5,dx=33.5px
2026-06-12T16:26:55.036955,864,smile,321.0,220.0,
2026-06-12T16:26:55.299641,868,move_right,391.0,229.5,dx=70.0px
2026-06-12T16:26:56.466402,888,blink,387.0,229.5,
2026-06-12T16:26:56.467012,888,smile,387.0,229.5,
2026-06-12T16:26:56.467419,888,move_left,387.0,229.5,dx=-42.5px
2026-06-12T16:26:57.119565,900,smile,342.5,224.0,
2026-06-12T16:26:57.825830,912,smile,336.0,218.0,
2026-06-12T16:26:58.568627,924,smile,350.0,227.5,
2026-06-12T16:26:58.569259,924,move_right,350.0,227.5,dx=27.0px
2026-06-12T16:26:59.229821,936,smile,398.0,231.5,
2026-06-12T16:26:59.444748,940,blink,367.5,231.5,
2026-06-12T16:26:59.445640,940,move_left,367.5,231.5,dx=-30.5px
2026-06-12T16:26:59.933551,948,smile,306.5,229.0,
2026-06-12T16:27:03.482358,1008,smile,292.5,217.0,
2026-06-12T16:27:04.632157,1028,smile,292.0,220.0,
2026-06-12T16:27:06.725866,1064,smile,276.5,222.0,
2026-06-12T16:27:07.425132,1076,smile,372.0,227.5,
2026-06-12T16:27:07.425728,1076,move_right,372.0,227.5,dx=81.5px
2026-06-12T16:27:08.909880,1100,smile,338.0,215.5,
2026-06-12T16:27:08.910742,1100,move_left,338.0,215.5,dx=-58.0px
2026-06-12T16:27:09.654947,1112,smile,301.5,213.0,
2026-06-12T16:27:10.411773,1124,smile,284.0,225.5,
2026-06-12T16:27:11.151127,1136,smile,273.0,211.5,
2026-06-12T16:27:11.823587,1148,smile,285.0,212.5,
2026-06-12T16:27:12.540203,1160,smile,315.5,222.0,
2026-06-12T16:27:12.540888,1160,move_right,315.5,222.0,dx=22.0px
2026-06-12T16:27:13.183114,1172,smile,365.5,227.5,
2026-06-12T16:27:13.917342,1184,smile,338.5,212.0,
2026-06-12T16:27:14.539285,1196,smile,328.5,212.5,
2026-06-12T16:27:15.315809,1208,smile,325.5,214.5,
2026-06-12T16:27:16.069989,1220,smile,302.0,223.0,
