timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-11T17:11:45.510682,18,blink,336.5,273.0,
2026-06-11T17:11:46.816126,38,move_left,334.0,263.0,dx=-26.5px
2026-06-11T17:11:49.359086,74,move_right,352.5,256.0,dx=22.0px
2026-06-11T17:11:49.540406,76,blink,365.5,255.0,
2026-06-11T17:11:50.388392,86,blink,374.5,257.5,
2026-06-11T17:11:53.895352,140,blink,381.0,257.0,
2026-06-11T17:11:54.226901,144,move_right,408.0,226.5,dx=27.0px
2026-06-11T17:11:54.227039,144,move_up,408.0,226.5,dy=-30.5px
2026-06-11T17:11:54.402449,146,move_down,408.5,256.0,dy=29.5px
2026-06-11T17:11:59.531009,192,move_left,299.0,309.5,dx=-50.5px
2026-06-11T17:12:04.411971,250,move_right,463.5,341.0,dx=115.5px
2026-06-11T17:12:04.412151,250,move_down,463.5,341.0,dy=37.0px
2026-06-11T17:12:05.299529,258,move_left,200.0,327.0,dx=-263.5px
2026-06-11T17:12:08.338999,286,move_left,178.5,333.5,dx=-21.0px
2026-06-11T17:12:09.821913,300,move_right,270.5,323.0,dx=103.5px
2026-06-11T17:12:16.613138,430,blink,450.5,239.5,
2026-06-11T17:12:16.613314,430,smile,450.5,239.5,
2026-06-11T17:12:16.613350,430,move_right,450.5,239.5,dx=180.0px
2026-06-11T17:12:16.613392,430,move_up,450.5,239.5,dy=-83.5px
2026-06-11T17:12:16.997083,434,move_left,408.0,239.5,dx=-23.5px
2026-06-11T17:12:17.683555,442,smile,395.0,239.5,
2026-06-11T17:12:18.651723,452,smile,418.5,239.5,
2026-06-11T17:12:19.941444,470,move_down,409.0,295.5,dy=56.0px
2026-06-11T17:12:20.864500,478,blink,397.0,318.5,
2026-06-11T17:12:26.540592,528,move_up,289.5,265.0,dy=-45.5px
2026-06-11T17:12:58.258190,1032,move_right,430.5,288.5,dx=141.0px
2026-06-11T17:12:58.258332,1032,move_down,430.5,288.5,dy=23.5px
2026-06-11T17:12:58.429343,1034,move_left,406.0,269.0,dx=-24.5px
2026-06-11T17:12:59.000200,1042,move_left,373.5,216.5,dx=-21.5px
2026-06-11T17:12:59.000337,1042,move_up,373.5,216.5,dy=-62.5px
2026-06-11T17:13:00.303369,1064,move_down,366.5,269.5,dy=46.0px
2026-06-11T17:13:02.054747,1090,move_right,388.5,234.0,dx=22.0px
2026-06-11T17:13:02.054889,1090,move_up,388.5,234.0,dy=-35.5px
