timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T18:27:52.671324,4552,smile,68.5,177.0,
2026-06-12T18:28:14.240855,5172,smile,70.5,177.0,
2026-06-12T18:29:58.062922,8100,blink,114.5,170.0,
2026-06-12T18:30:28.108037,8884,blink,76.0,130.0,
2026-06-12T18:31:19.614843,10372,blink,191.5,172.0,
2026-06-12T18:33:14.550615,13612,blink,215.5,202.0,
2026-06-12T18:33:21.005914,13724,blink,82.5,199.0,
2026-06-12T18:33:26.320110,13844,blink,86.0,186.5,
2026-06-12T18:33:27.579616,13864,smile,229.0,167.5,
2026-06-12T18:33:28.316666,13876,smile,340.0,179.5,
