timestamp,frame_number,speaker_id,confidence,distance,system_state,tracking_command,motor_command,servo_angle,servo_target,face_center_x,face_center_y,frame_width,mqtt_connected,details
2026-06-12T17:49:48.726+02:00,1,loic,0.0000,1.0000,TRACKING,OUT_OF_FRAME,STOP,147,,,,640,True,visible_faces=0
2026-06-12T17:49:49.099+02:00,8,loic,0.5961,0.4039,TRACKING,STOPPED,STOP,147,135,566.5,247.0,640,True,visible_faces=1
2026-06-12T17:49:49.726+02:00,22,loic,0.5751,0.4249,TRACKING,MOVED_LEFT,LEFT,142,130,550.5,241.0,640,True,visible_faces=1
2026-06-12T17:49:49.729+02:00,23,loic,0.5751,0.4249,TRACKING,STOPPED,STOP,142,,550.5,241.0,640,True,visible_faces=1
2026-06-12T17:49:50.169+02:00,36,loic,0.5884,0.4116,TRACKING,MOVED_LEFT,LEFT,135,123,506.5,246.5,640,True,visible_faces=1
2026-06-12T17:49:50.172+02:00,37,loic,0.5884,0.4116,TRACKING,STOPPED,STOP,135,,506.5,246.5,640,True,visible_faces=1
2026-06-12T17:49:50.377+02:00,42,loic,0.6410,0.3590,TRACKING,MOVED_LEFT,LEFT,130,118,489.5,248.0,640,True,visible_faces=1
2026-06-12T17:49:50.379+02:00,43,loic,0.6410,0.3590,TRACKING,STOPPED,STOP,130,,489.5,248.0,640,True,visible_faces=1
2026-06-12T17:49:50.841+02:00,56,loic,0.5883,0.4117,TRACKING,MOVED_RIGHT,RIGHT,135,123,496.0,249.5,640,True,visible_faces=1
2026-06-12T17:49:50.843+02:00,57,loic,0.5883,0.4117,TRACKING,STOPPED,STOP,135,,496.0,249.5,640,True,visible_faces=1
2026-06-12T17:49:51.050+02:00,62,loic,0.6555,0.3445,TRACKING,MOVED_LEFT,LEFT,123,111,467.5,251.5,640,True,visible_faces=1
2026-06-12T17:49:51.054+02:00,63,loic,0.6555,0.3445,TRACKING,STOPPED,STOP,123,,467.5,251.5,640,True,visible_faces=1
2026-06-12T17:49:51.303+02:00,70,loic,0.6824,0.3176,TRACKING,MOVED_LEFT,LEFT,122,110,449.0,253.0,640,True,visible_faces=1
2026-06-12T17:49:51.307+02:00,71,loic,0.6824,0.3176,TRACKING,STOPPED,STOP,122,,449.0,253.0,640,True,visible_faces=1
2026-06-12T17:49:51.784+02:00,84,loic,0.6750,0.3250,TRACKING,MOVED_RIGHT,RIGHT,123,111,429.5,254.5,640,True,visible_faces=1
2026-06-12T17:49:51.788+02:00,85,loic,0.6750,0.3250,TRACKING,STOPPED,STOP,123,,429.5,254.5,640,True,visible_faces=1
