timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T14:10:10.157595,72,move_left,322.5,264.0,dx=-101.0px
2026-06-12T14:10:10.429924,80,move_left,283.5,259.5,dx=-30.0px
2026-06-12T14:10:10.972831,96,move_left,208.5,258.0,dx=-21.0px
2026-06-12T14:10:12.044574,128,move_left,106.0,262.5,dx=-42.0px
2026-06-12T14:10:12.572938,144,move_left,87.5,260.0,dx=-26.5px
2026-06-12T14:10:14.460977,200,smile,73.5,246.5,
2026-06-12T14:10:14.461387,200,move_left,73.5,246.5,dx=-21.5px
2026-06-12T14:10:15.806713,240,smile,73.5,247.0,
2026-06-12T14:10:16.876815,272,smile,60.5,252.5,
2026-06-12T14:10:17.301953,284,smile,60.5,253.0,
2026-06-12T14:10:17.670154,296,smile,60.5,254.0,
