timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T18:09:39.372794,152,smile,414.5,247.5,
2026-06-12T18:09:39.914713,168,smile,468.0,250.0,
2026-06-12T18:09:40.441684,184,smile,538.5,238.5,
2026-06-12T18:09:40.843972,196,smile,560.0,245.5,
2026-06-12T18:09:41.390347,212,smile,550.5,246.0,
2026-06-12T18:09:41.521705,216,blink,520.5,256.0,
2026-06-12T18:09:42.314819,240,smile,427.0,262.5,
2026-06-12T18:09:43.261028,268,blink,317.0,261.5,
2026-06-12T18:09:50.482323,484,blink,398.5,267.0,
2026-06-12T18:09:50.907155,496,smile,424.5,264.0,
2026-06-12T18:09:51.979093,528,smile,447.0,261.0,
2026-06-12T18:09:53.995944,588,smile,465.5,261.0,
2026-06-12T18:09:54.393143,600,smile,468.5,259.0,
2026-06-12T18:09:54.938548,616,smile,450.5,259.5,
2026-06-12T18:09:55.866411,644,blink,439.5,261.0,
2026-06-12T18:09:57.086181,680,blink,448.0,263.0,
2026-06-12T18:09:58.698807,728,smile,440.5,259.0,
2026-06-12T18:09:59.100262,740,smile,469.5,254.5,
2026-06-12T18:10:04.740373,908,blink,280.5,255.5,
2026-06-12T18:10:05.380815,928,smile,64.5,227.5,
2026-06-12T18:10:05.464182,928,move_left,64.5,227.5,dx=-59.5px
2026-06-12T18:10:08.683865,1024,smile,98.0,240.0,
2026-06-12T18:10:09.083771,1036,smile,107.5,242.5,
2026-06-12T18:10:10.698238,1084,smile,166.0,251.0,
2026-06-12T18:10:11.100564,1096,smile,184.0,253.0,
2026-06-12T18:10:11.645661,1112,smile,183.5,253.5,
2026-06-12T18:10:12.045157,1124,smile,184.0,253.5,
2026-06-12T18:10:14.457716,1196,smile,213.0,256.5,
2026-06-12T18:10:25.322434,1520,smile,304.0,259.0,
2026-06-12T18:10:31.227179,1696,blink,281.5,259.0,
2026-06-12T18:10:34.443858,1792,blink,284.5,261.0,
2026-06-12T18:11:12.258105,2876,blink,360.0,255.0,
