timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T17:50:10.371627,468,blink,230.5,256.0,
2026-06-12T17:50:17.003164,580,blink,170.5,253.5,
2026-06-12T17:50:21.499056,664,blink,267.5,257.5,
2026-06-12T17:50:25.594322,732,blink,275.5,259.5,
2026-06-12T17:50:34.603330,876,blink,234.0,259.5,
2026-06-12T17:50:35.680169,904,blink,281.5,255.5,
2026-06-12T17:51:29.557960,1816,smile,528.5,243.5,
2026-06-12T17:51:51.846094,2352,move_left,100.5,155.0,dx=-59.2px
2026-06-12T17:51:52.392190,2368,blink,98.5,158.0,
2026-06-12T17:51:53.184765,2392,smile,107.0,169.0,
2026-06-12T17:51:53.585363,2404,smile,109.5,179.5,
2026-06-12T17:52:14.962705,3016,smile,259.5,179.5,
2026-06-12T17:52:15.376167,3028,smile,405.5,185.0,
2026-06-12T17:52:15.776519,3040,smile,355.0,181.5,
2026-06-12T17:52:16.177597,3052,smile,304.5,184.5,
2026-06-12T17:52:16.575978,3064,smile,346.5,173.5,
