timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T14:43:15.410227,40,move_left,377.5,127.0,dx=-58.0px
2026-06-12T14:43:15.807694,52,move_left,334.0,125.0,dx=-47.5px
2026-06-12T14:43:16.079891,60,move_left,300.0,124.5,dx=-52.0px
2026-06-12T14:43:16.481364,72,move_right,342.0,126.0,dx=32.5px
2026-06-12T14:43:16.751738,80,move_right,376.0,125.5,dx=34.0px
2026-06-12T14:43:17.009322,88,move_right,411.5,126.0,dx=46.0px
2026-06-12T14:43:17.151603,92,move_left,386.5,128.0,dx=-25.0px
2026-06-12T14:43:17.555611,104,move_left,344.0,125.5,dx=-43.5px
2026-06-12T14:43:17.958158,116,move_left,305.5,125.0,dx=-40.0px
2026-06-12T14:43:18.353398,128,move_right,343.5,126.5,dx=25.5px
2026-06-12T14:43:18.624282,136,move_left,314.0,125.5,dx=-29.0px
2026-06-12T14:43:18.895648,144,move_left,292.5,124.5,dx=-23.5px
2026-06-12T14:43:19.168386,152,move_left,269.0,123.0,dx=-27.5px
2026-06-12T14:43:20.769204,200,move_right,295.0,126.5,dx=43.5px
2026-06-12T14:43:22.658803,256,move_right,276.5,124.0,dx=44.0px
2026-06-12T14:43:22.911235,264,move_right,297.5,124.5,dx=22.0px
2026-06-12T14:43:24.800110,320,move_left,261.5,121.5,dx=-35.5px
2026-06-12T14:43:25.200479,332,move_left,223.5,121.5,dx=-39.5px
2026-06-12T14:43:25.626682,344,move_right,262.0,121.5,dx=41.0px
2026-06-12T14:43:26.032660,356,move_right,305.0,127.0,dx=38.5px
2026-06-12T14:43:26.304287,364,move_left,260.0,125.5,dx=-35.0px
2026-06-12T14:43:27.375944,396,move_right,298.5,125.5,dx=51.5px
2026-06-12T14:43:27.778096,408,move_left,266.5,124.5,dx=-32.0px
2026-06-12T14:43:29.939680,472,move_right,278.5,126.5,dx=25.5px
2026-06-12T14:43:30.737046,496,move_left,237.5,123.5,dx=-39.0px
2026-06-12T14:43:31.536417,520,move_right,286.0,127.0,dx=28.5px
2026-06-12T14:43:32.335614,544,move_left,254.5,125.5,dx=-21.5px
2026-06-12T14:43:33.152681,568,move_right,294.5,128.0,dx=54.5px
2026-06-12T14:43:34.224449,600,move_left,250.0,125.0,dx=-25.0px
2026-06-12T14:43:35.840019,648,move_right,287.0,127.5,dx=39.0px
2026-06-12T14:43:37.988755,712,move_right,282.0,128.0,dx=29.5px
2026-06-12T14:43:38.786547,736,move_left,241.5,123.0,dx=-39.0px
2026-06-12T14:43:41.877116,828,move_left,228.0,125.0,dx=-54.0px
2026-06-12T14:43:42.947515,860,move_right,278.5,131.0,dx=35.0px
2026-06-12T14:43:43.744951,884,move_left,259.0,124.0,dx=-28.0px
2026-06-12T14:43:45.106810,924,move_right,274.5,127.0,dx=23.5px
2026-06-12T14:43:46.241259,944,move_left,247.0,127.0,dx=-31.0px
2026-06-12T14:43:47.169475,972,move_right,283.5,129.5,dx=35.5px
2026-06-12T14:43:50.128476,1060,move_left,321.0,105.5,dx=-27.5px
2026-06-12T14:44:32.120036,2312,move_left,75.5,138.5,dx=-246.5px
2026-06-12T14:44:32.120686,2312,move_down,75.5,138.5,dy=39.5px
2026-06-12T14:44:33.459533,2352,blink,245.5,161.0,
2026-06-12T14:44:33.459966,2352,move_right,245.5,161.0,dx=20.5px
2026-06-12T14:44:33.729705,2360,move_right,286.5,161.5,dx=29.0px
2026-06-12T14:44:34.676444,2388,move_left,242.0,158.5,dx=-36.5px
2026-06-12T14:44:35.202598,2404,move_left,152.5,149.0,dx=-53.5px
2026-06-12T14:44:35.604285,2416,move_left,97.0,143.0,dx=-67.0px
2026-06-12T14:44:35.745121,2420,move_right,127.0,147.5,dx=30.0px
2026-06-12T14:44:35.877344,2424,move_left,89.5,137.5,dx=-37.5px
2026-06-12T14:44:36.272287,2436,move_right,121.5,145.5,dx=34.0px
2026-06-12T14:44:36.544679,2444,move_right,165.5,152.5,dx=32.5px
2026-06-12T14:44:36.819338,2452,move_right,195.5,155.0,dx=38.5px
2026-06-12T14:44:37.089488,2460,move_right,229.5,158.5,dx=31.0px
2026-06-12T14:44:37.216690,2464,move_left,200.5,155.5,dx=-29.0px
2026-06-12T14:44:37.615100,2476,move_left,139.0,149.5,dx=-42.0px
2026-06-12T14:44:37.760308,2480,move_right,163.0,152.0,dx=24.0px
2026-06-12T14:44:40.433522,2560,blink,158.0,154.5,
2026-06-12T14:44:40.576365,2564,move_left,119.0,146.0,dx=-39.0px
2026-06-12T14:44:40.848625,2572,move_left,88.0,142.0,dx=-37.0px
2026-06-12T14:44:41.105014,2580,blink,71.0,140.0,
2026-06-12T14:44:41.252609,2584,smile,66.5,137.5,
2026-06-12T14:44:45.536139,2712,move_right,113.5,147.0,dx=28.5px
2026-06-12T14:44:45.808609,2720,move_right,150.5,151.5,dx=40.5px
2026-06-12T14:44:46.880282,2752,move_left,142.0,147.0,dx=-42.5px
2026-06-12T14:44:49.208352,2820,move_left,96.0,139.5,dx=-28.5px
2026-06-12T14:44:49.626296,2832,smile,71.5,137.5,
2026-06-12T14:44:50.066333,2844,smile,72.0,138.0,
2026-06-12T14:44:50.467438,2856,smile,70.5,137.0,
2026-06-12T14:44:50.752285,2864,move_right,98.0,144.5,dx=24.0px
2026-06-12T14:44:50.995835,2872,move_right,132.5,147.0,dx=35.5px
2026-06-12T14:44:51.682379,2892,blink,118.5,149.0,
2026-06-12T14:44:51.782368,2896,move_right,174.0,156.5,dx=55.5px
2026-06-12T14:44:51.925844,2900,move_left,124.5,147.0,dx=-49.5px
2026-06-12T14:44:52.644801,2920,blink,161.5,153.0,
2026-06-12T14:44:52.645269,2920,move_right,161.5,153.0,dx=37.0px
2026-06-12T14:44:53.056169,2932,move_left,112.0,146.0,dx=-49.5px
2026-06-12T14:44:55.029111,2988,blink,79.5,151.0,
2026-06-12T14:44:55.345889,2996,move_right,128.5,167.5,dx=39.0px
2026-06-12T14:44:56.094517,3016,blink,147.0,171.5,
