timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T13:56:31.360477,88,move_left,97.0,240.0,dx=-50.5px
2026-06-12T13:56:32.847031,132,move_right,140.5,251.0,dx=48.5px
2026-06-12T13:56:33.315058,144,move_left,87.0,235.5,dx=-53.0px
2026-06-12T13:56:34.389251,176,move_right,146.0,237.0,dx=59.0px
2026-06-12T13:56:34.786595,188,move_right,170.5,244.0,dx=24.5px
2026-06-12T13:56:35.455333,208,move_right,222.0,249.5,dx=21.5px
2026-06-12T13:56:37.599876,272,move_left,140.5,242.0,dx=-26.0px
2026-06-12T13:56:40.517185,360,move_left,100.0,228.5,dx=-43.0px
2026-06-12T13:57:54.351962,2560,move_right,233.5,248.5,dx=133.5px
2026-06-12T13:57:54.727065,2572,move_right,395.5,203.5,dx=162.0px
2026-06-12T13:57:54.727463,2572,move_up,395.5,203.5,dy=-45.0px
2026-06-12T13:57:54.854390,2576,move_left,326.5,173.5,dx=-69.0px
2026-06-12T13:57:57.025323,2640,move_right,352.0,228.5,dx=25.5px
2026-06-12T13:57:57.025885,2640,move_down,352.0,228.5,dy=55.0px
2026-06-12T13:57:57.168596,2644,move_left,318.5,223.0,dx=-33.5px
2026-06-12T13:57:57.296279,2648,smile,298.0,217.0,
2026-06-12T13:57:57.439169,2652,move_left,276.0,218.5,dx=-22.0px
2026-06-12T13:57:58.099198,2672,smile,246.5,214.0,
2026-06-12T13:57:58.370159,2680,move_right,312.5,210.5,dx=64.0px
2026-06-12T13:57:58.513698,2684,move_left,265.0,211.5,dx=-47.5px
2026-06-12T13:57:58.641425,2688,smile,287.5,210.5,
2026-06-12T13:57:58.641861,2688,move_right,287.5,210.5,dx=22.5px
2026-06-12T13:57:58.772213,2692,move_left,239.0,208.0,dx=-48.5px
2026-06-12T13:57:59.183093,2704,smile,209.5,204.5,
2026-06-12T13:57:59.588908,2716,smile,212.5,205.5,
2026-06-12T13:57:59.984393,2728,smile,167.5,210.5,
2026-06-12T13:57:59.984781,2728,move_left,167.5,210.5,dx=-37.0px
2026-06-12T13:58:00.383639,2740,smile,99.0,195.0,
2026-06-12T13:58:00.786596,2752,move_right,174.0,201.5,dx=63.5px
2026-06-12T13:58:00.930130,2756,smile,134.0,199.5,
2026-06-12T13:58:00.930587,2756,move_left,134.0,199.5,dx=-40.0px
2026-06-12T13:58:01.329191,2768,smile,174.0,193.0,
2026-06-12T13:58:01.329557,2768,move_right,174.0,193.0,dx=35.5px
2026-06-12T13:58:01.456846,2772,move_left,125.5,192.5,dx=-48.5px
2026-06-12T13:58:01.728676,2780,smile,167.5,200.0,
2026-06-12T13:58:01.729062,2780,move_right,167.5,200.0,dx=33.0px
2026-06-12T13:58:02.000512,2788,move_right,214.5,204.5,dx=25.5px
2026-06-12T13:58:02.256359,2796,smile,258.0,205.5,
2026-06-12T13:58:02.256746,2796,move_right,258.0,205.5,dx=23.0px
2026-06-12T13:58:03.345136,2828,move_right,417.5,204.0,dx=159.5px
2026-06-12T13:58:03.876719,2844,smile,493.0,196.5,
2026-06-12T13:58:03.877074,2844,move_right,493.0,196.5,dx=75.5px
2026-06-12T13:58:04.119399,2852,move_left,390.5,201.5,dx=-102.5px
2026-06-12T13:58:05.352647,2888,move_left,244.0,207.5,dx=-146.5px
2026-06-12T13:58:05.491437,2892,blink,224.5,207.5,
2026-06-12T13:58:05.491837,2892,smile,224.5,207.5,
2026-06-12T13:58:05.888735,2904,move_left,172.0,201.5,dx=-39.5px
2026-06-12T13:58:06.017031,2908,smile,173.0,208.5,
2026-06-12T13:58:06.161155,2912,move_left,133.5,203.5,dx=-39.5px
2026-06-12T13:58:06.416108,2920,smile,123.5,199.0,
2026-06-12T13:58:06.836955,2932,smile,198.0,209.5,
2026-06-12T13:58:06.837330,2932,move_right,198.0,209.5,dx=73.0px
2026-06-12T13:58:06.959830,2936,move_left,155.5,207.0,dx=-42.5px
2026-06-12T13:58:07.088079,2940,move_right,246.0,216.5,dx=90.5px
2026-06-12T13:58:07.232257,2944,move_left,213.0,209.0,dx=-33.0px
2026-06-12T13:58:07.360159,2948,move_right,262.0,216.0,dx=49.0px
2026-06-12T13:58:07.760038,2960,move_right,301.5,216.5,dx=31.0px
2026-06-12T13:58:08.305291,2976,move_right,389.5,214.5,dx=88.0px
2026-06-12T13:58:08.431910,2980,smile,402.5,214.5,
2026-06-12T13:58:08.833000,2992,smile,450.5,205.5,
2026-06-12T13:58:08.833570,2992,move_right,450.5,205.5,dx=26.0px
2026-06-12T13:58:09.248057,3004,move_right,471.5,203.0,dx=22.0px
2026-06-12T13:58:09.376854,3008,smile,508.5,193.5,
2026-06-12T13:58:09.902629,3024,smile,540.0,181.0,
2026-06-12T13:58:09.903048,3024,move_right,540.0,181.0,dx=31.0px
2026-06-12T13:58:10.695026,3048,smile,524.5,194.5,
2026-06-12T13:58:11.093890,3060,smile,478.0,208.5,
2026-06-12T13:58:11.094251,3060,move_left,478.0,208.5,dx=-21.5px
2026-06-12T13:58:11.366652,3068,move_left,426.0,213.0,dx=-23.5px
2026-06-12T13:58:11.494550,3072,smile,404.0,217.0,
2026-06-12T13:58:11.894532,3084,move_left,347.0,219.5,dx=-25.0px
2026-06-12T13:58:12.567191,3104,smile,282.5,220.0,
2026-06-12T13:58:12.712554,3108,move_right,308.0,216.5,dx=25.5px
2026-06-12T13:58:13.238633,3124,smile,289.0,219.5,
2026-06-12T13:58:13.239019,3124,move_left,289.0,219.5,dx=-33.5px
2026-06-12T13:58:13.510956,3132,move_left,241.5,219.5,dx=-31.0px
2026-06-12T13:58:13.640837,3136,smile,220.0,217.5,
2026-06-12T13:58:13.911614,3144,move_left,175.5,215.5,dx=-25.0px
2026-06-12T13:58:14.040366,3148,smile,141.5,211.5,
2026-06-12T13:58:14.455792,3160,smile,137.0,213.0,
2026-06-12T13:58:14.855581,3172,smile,136.5,210.5,
2026-06-12T13:58:15.256020,3184,smile,136.5,210.5,
2026-06-12T13:58:15.655875,3196,smile,137.5,213.5,
2026-06-12T13:58:15.784056,3200,move_right,158.5,216.5,dx=21.0px
2026-06-12T13:58:16.055982,3208,move_right,231.5,208.5,dx=29.0px
2026-06-12T13:58:16.455725,3220,move_right,258.5,208.0,dx=24.5px
2026-06-12T13:58:16.727504,3228,smile,220.0,211.5,
2026-06-12T13:58:16.727903,3228,move_left,220.0,211.5,dx=-36.0px
2026-06-12T13:58:17.126555,3240,smile,205.0,210.0,
2026-06-12T13:58:17.527063,3252,smile,202.5,208.0,
2026-06-12T13:58:17.798352,3260,move_left,155.5,209.0,dx=-42.0px
2026-06-12T13:58:17.942525,3264,smile,144.0,197.5,
2026-06-12T13:58:18.344646,3276,smile,149.0,195.0,
2026-06-12T13:58:18.471567,3280,move_right,173.5,198.0,dx=24.5px
2026-06-12T13:58:18.742865,3288,smile,225.0,202.5,
2026-06-12T13:58:18.743282,3288,move_right,225.0,202.5,dx=27.0px
2026-06-12T13:58:19.015491,3296,move_right,271.0,206.0,dx=21.0px
2026-06-12T13:58:19.542344,3312,move_right,367.0,206.5,dx=33.5px
2026-06-12T13:58:19.687122,3316,smile,385.5,204.5,
2026-06-12T13:58:19.815412,3320,move_right,410.5,203.0,dx=25.0px
2026-06-12T13:58:20.087009,3328,smile,459.0,196.0,
2026-06-12T13:58:20.087364,3328,move_right,459.0,196.0,dx=23.5px
2026-06-12T13:58:20.487187,3340,smile,511.5,184.0,
2026-06-12T13:58:21.594441,3372,smile,523.0,187.5,
2026-06-12T13:58:21.990761,3384,smile,524.0,189.0,
2026-06-12T13:58:22.390275,3396,smile,529.0,190.5,
2026-06-12T13:58:25.654156,3492,smile,528.5,192.0,
2026-06-12T13:58:26.048350,3504,smile,490.0,200.0,
2026-06-12T13:58:26.320379,3512,move_left,439.5,208.0,dx=-39.0px
2026-06-12T13:58:26.448526,3516,smile,435.5,208.5,
2026-06-12T13:58:26.578384,3520,move_left,383.0,211.0,dx=-52.5px
2026-06-12T13:58:26.850037,3528,smile,353.5,213.5,
2026-06-12T13:58:26.850451,3528,move_left,353.5,213.5,dx=-29.5px
2026-06-12T13:58:27.248418,3540,smile,378.0,208.0,
2026-06-12T13:58:27.248817,3540,move_right,378.0,208.0,dx=36.0px
2026-06-12T13:58:27.795701,3556,smile,366.0,213.0,
2026-06-12T13:58:27.796090,3556,move_left,366.0,213.0,dx=-28.0px
2026-06-12T13:58:28.191848,3568,smile,351.5,216.0,
2026-06-12T13:58:28.467895,3576,move_left,329.0,217.0,dx=-23.0px
2026-06-12T13:58:28.593126,3580,smile,313.0,216.0,
2026-06-12T13:58:28.735832,3584,move_left,288.0,215.5,dx=-25.0px
2026-06-12T13:58:28.991097,3592,smile,280.0,216.0,
2026-06-12T13:58:29.409199,3604,smile,280.0,217.0,
2026-06-12T13:58:29.807741,3616,smile,280.5,215.5,
2026-06-12T13:58:30.209851,3628,smile,245.5,214.0,
2026-06-12T13:58:30.210264,3628,move_left,245.5,214.0,dx=-21.5px
2026-06-12T13:58:30.608169,3640,smile,209.0,208.5,
2026-06-12T13:58:30.743229,3644,move_right,247.0,215.0,dx=38.0px
2026-06-12T13:58:31.008520,3652,smile,217.0,212.5,
2026-06-12T13:58:31.008946,3652,move_left,217.0,212.5,dx=-21.0px
2026-06-12T13:58:31.410563,3664,smile,202.0,210.5,
2026-06-12T13:58:31.554270,3668,move_left,168.5,207.5,dx=-33.5px
2026-06-12T13:58:31.808682,3676,smile,169.5,207.5,
2026-06-12T13:58:32.081930,3684,move_left,141.5,203.0,dx=-23.5px
2026-06-12T13:58:32.223982,3688,smile,140.5,203.0,
2026-06-12T13:58:32.626203,3700,smile,139.0,204.5,
2026-06-12T13:58:33.023999,3712,smile,140.5,204.5,
2026-06-12T13:58:33.424909,3724,smile,142.5,205.5,
2026-06-12T13:58:33.553258,3728,move_right,207.0,213.5,dx=64.5px
2026-06-12T13:58:33.823620,3736,smile,170.0,209.0,
2026-06-12T13:58:33.824028,3736,move_left,170.0,209.0,dx=-36.5px
2026-06-12T13:58:34.223763,3748,smile,169.0,209.0,
2026-06-12T13:58:34.640031,3760,smile,169.0,208.0,
2026-06-12T13:58:34.895853,3768,move_left,142.0,204.0,dx=-24.5px
2026-06-12T13:58:35.041504,3772,smile,127.0,205.5,
2026-06-12T13:58:35.301610,3780,move_right,149.0,205.5,dx=29.0px
2026-06-12T13:58:35.580912,3788,smile,129.0,204.5,
2026-06-12T13:58:35.966702,3800,smile,133.5,203.5,
2026-06-12T13:58:36.383668,3812,smile,133.5,205.0,
2026-06-12T13:58:36.639868,3820,move_right,164.5,207.0,dx=31.0px
2026-06-12T13:58:36.784501,3824,smile,146.0,209.5,
2026-06-12T13:58:37.184229,3836,smile,149.5,208.0,
2026-06-12T13:58:37.583053,3848,smile,170.5,207.0,
2026-06-12T13:58:37.710169,3852,move_right,192.0,211.5,dx=21.5px
2026-06-12T13:58:37.986343,3860,smile,180.0,212.5,
2026-06-12T13:58:38.384403,3872,smile,181.0,213.0,
2026-06-12T13:58:38.527615,3876,move_right,204.0,213.5,dx=23.0px
2026-06-12T13:58:38.801250,3884,smile,212.5,213.5,
2026-06-12T13:58:39.200433,3896,smile,221.0,213.5,
2026-06-12T13:58:39.600530,3908,smile,227.0,214.0,
2026-06-12T13:58:40.004231,3920,smile,241.0,215.0,
2026-06-12T13:58:40.399387,3932,smile,248.5,214.0,
2026-06-12T13:58:40.799934,3944,smile,248.0,215.0,
2026-06-12T13:58:41.201279,3956,smile,263.0,215.5,
2026-06-12T13:58:41.614592,3968,smile,272.5,215.0,
2026-06-12T13:58:42.289021,3988,smile,290.0,215.0,
2026-06-12T13:58:42.943460,4008,move_right,328.5,214.5,dx=28.0px
2026-06-12T13:58:43.087890,4012,smile,320.5,214.5,
2026-06-12T13:58:43.491965,4024,smile,321.0,214.0,
2026-06-12T13:58:43.888733,4036,smile,321.0,213.5,
2026-06-12T13:58:44.288693,4048,smile,324.0,214.5,
2026-06-12T13:58:44.687272,4060,smile,324.0,214.5,
2026-06-12T13:58:45.104670,4072,smile,323.5,214.0,
2026-06-12T13:58:45.504764,4084,smile,324.0,217.5,
2026-06-12T13:58:45.903421,4096,smile,325.5,216.0,
2026-06-12T13:58:46.303785,4108,smile,324.5,215.0,
2026-06-12T13:58:46.703609,4120,smile,324.0,215.5,
2026-06-12T13:58:46.976654,4128,move_left,267.0,218.0,dx=-45.5px
2026-06-12T13:58:47.114243,4132,smile,216.5,217.0,
2026-06-12T13:58:47.250539,4136,move_left,176.5,214.5,dx=-40.0px
2026-06-12T13:58:47.520418,4144,smile,132.0,204.5,
2026-06-12T13:58:47.925192,4156,smile,109.0,191.5,
2026-06-12T13:58:48.288089,4168,smile,102.0,175.5,
2026-06-12T13:58:51.238944,4256,smile,221.5,181.0,
2026-06-12T13:58:51.239350,4256,move_right,221.5,181.0,dx=119.5px
