timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T17:36:06.614468,100,move_left,269.5,219.5,dx=-28.0px
2026-06-12T17:36:07.820918,132,move_left,235.5,222.5,dx=-20.5px
2026-06-12T17:36:08.662488,156,move_left,121.5,212.0,dx=-26.0px
2026-06-12T17:36:09.323642,176,smile,79.0,195.5,
2026-06-12T17:36:10.249111,204,smile,91.0,202.5,
2026-06-12T17:36:10.643291,216,move_right,134.0,210.5,dx=23.0px
2026-06-12T17:36:11.989815,256,move_left,149.5,215.0,dx=-47.0px
2026-06-12T17:36:12.241750,264,move_left,130.5,212.5,dx=-28.0px
2026-06-12T17:36:13.729581,308,move_right,168.5,210.5,dx=35.0px
2026-06-12T17:36:14.130154,320,move_left,150.0,215.0,dx=-20.5px
2026-06-12T17:36:14.257508,324,move_right,171.5,215.5,dx=21.5px
2026-06-12T17:36:14.530169,332,move_right,203.5,215.5,dx=22.0px
2026-06-12T17:36:14.800744,340,move_right,248.0,218.5,dx=27.0px
2026-06-12T17:36:15.609555,364,move_left,198.5,219.5,dx=-26.5px
2026-06-12T17:36:15.873201,372,move_left,161.5,217.5,dx=-21.5px
2026-06-12T17:36:16.274532,384,move_left,107.5,211.5,dx=-26.0px
2026-06-12T17:36:16.555944,392,smile,91.5,206.0,
2026-06-12T17:36:19.894888,492,smile,93.5,207.0,
2026-06-12T17:36:20.435044,508,move_right,121.0,209.5,dx=29.5px
2026-06-12T17:36:21.111933,528,move_left,99.5,211.5,dx=-41.5px
2026-06-12T17:36:21.381152,536,move_right,129.0,212.0,dx=26.0px
2026-06-12T17:36:21.632337,544,move_right,159.0,214.5,dx=21.0px
2026-06-12T17:36:22.064723,556,move_left,102.0,212.5,dx=-43.5px
2026-06-12T17:36:22.188759,560,smile,106.0,212.0,
2026-06-12T17:36:23.124921,588,move_right,124.0,207.0,dx=24.5px
2026-06-12T17:36:23.655880,604,move_left,109.5,211.0,dx=-22.0px
2026-06-12T17:36:24.198703,620,smile,74.5,195.5,
2026-06-12T17:36:27.334306,704,move_right,106.5,209.0,dx=32.0px
2026-06-12T17:36:28.043918,716,move_right,125.5,212.0,dx=28.0px
2026-06-12T17:36:28.755092,728,move_right,158.5,218.0,dx=32.0px
2026-06-12T17:36:29.241654,736,move_right,212.0,221.0,dx=31.5px
2026-06-12T17:36:29.677787,744,move_left,196.5,222.5,dx=-30.0px
2026-06-12T17:36:30.155424,752,move_left,150.0,219.0,dx=-27.0px
2026-06-12T17:36:30.832612,764,move_right,176.0,220.0,dx=29.0px
2026-06-12T17:36:31.393607,772,move_right,232.5,223.5,dx=40.5px
