timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T15:53:52.611356,3696,move_right,160.5,132.0,dx=78.0px
2026-06-12T15:53:52.612649,3696,move_down,160.5,132.0,dy=57.5px
2026-06-12T15:53:56.223755,3760,move_right,214.0,155.0,dx=22.5px
2026-06-12T15:53:56.765544,3768,move_right,297.5,174.0,dx=75.0px
2026-06-12T15:53:56.991885,3772,move_left,268.5,173.5,dx=-29.0px
2026-06-12T15:53:57.390534,3780,blink,274.5,182.5,
2026-06-12T15:54:02.866041,3876,move_right,361.0,184.5,dx=82.5px
2026-06-12T15:54:05.477815,3928,move_left,193.5,144.5,dx=-98.5px
2026-06-12T15:54:05.680531,3932,move_right,238.5,149.0,dx=45.0px
2026-06-12T15:54:08.472538,3988,move_right,308.0,167.0,dx=53.5px
2026-06-12T15:55:15.639919,5968,move_left,77.5,139.5,dx=-249.5px
2026-06-12T15:55:15.640430,5968,move_up,77.5,139.5,dy=-25.0px
2026-06-12T15:55:16.850825,6004,move_left,128.0,148.5,dx=-21.0px
2026-06-12T15:55:17.104529,6012,move_left,87.0,142.0,dx=-29.0px
2026-06-12T15:55:47.296863,6912,move_left,124.0,147.5,dx=-44.0px
2026-06-12T15:55:47.701541,6924,move_left,85.5,141.0,dx=-26.0px
2026-06-12T15:55:50.115921,6996,move_right,191.5,158.0,dx=24.0px
2026-06-12T15:55:50.529451,7008,move_left,146.5,150.5,dx=-41.5px
2026-06-12T15:55:50.791124,7016,move_left,100.0,145.5,dx=-38.5px
2026-06-12T15:56:26.388288,8076,move_left,99.5,138.0,dx=-28.0px
2026-06-12T15:56:27.219721,8100,move_right,101.5,137.5,dx=23.5px
2026-06-12T15:56:27.894694,8120,move_left,71.0,135.5,dx=-22.0px
2026-06-12T15:56:31.110163,8216,move_left,76.5,136.0,dx=-24.5px
2026-06-12T15:56:36.884623,8388,move_left,80.0,139.0,dx=-22.5px
