timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T13:44:09.332670,136,move_right,289.0,258.0,dx=22.5px
2026-06-12T13:44:10.533142,172,move_left,273.5,256.0,dx=-22.5px
2026-06-12T13:44:12.402783,228,move_right,384.0,246.0,dx=20.5px
2026-06-12T13:44:13.492716,260,smile,495.0,197.5,
2026-06-12T13:44:13.493156,260,move_right,495.0,197.5,dx=88.5px
2026-06-12T13:44:13.493576,260,move_up,495.0,197.5,dy=-45.5px
2026-06-12T13:44:13.894422,272,smile,489.5,195.5,
2026-06-12T13:44:14.293793,284,smile,483.5,200.5,
2026-06-12T13:44:14.692730,296,smile,482.0,199.5,
2026-06-12T13:44:15.092886,308,smile,484.0,199.5,
2026-06-12T13:44:15.493746,320,smile,478.5,200.0,
2026-06-12T13:44:15.910607,332,smile,473.0,198.0,
2026-06-12T13:44:16.309791,344,smile,451.5,196.5,
2026-06-12T13:44:16.710293,356,smile,391.5,198.0,
2026-06-12T13:44:16.710716,356,move_left,391.5,198.0,dx=-24.0px
2026-06-12T13:44:16.988335,364,move_left,333.0,228.5,dx=-29.5px
2026-06-12T13:44:16.988935,364,move_down,333.0,228.5,dy=20.5px
2026-06-12T13:44:18.579512,412,move_left,278.0,252.5,dx=-21.0px
2026-06-12T13:44:18.852486,420,move_left,238.5,248.5,dx=-28.5px
2026-06-12T13:44:19.253172,432,move_left,147.0,232.5,dx=-91.5px
2026-06-12T13:44:19.396824,436,move_right,168.5,236.0,dx=21.5px
2026-06-12T13:44:20.972219,484,smile,90.5,214.0,
2026-06-12T13:44:20.972577,484,move_left,90.5,214.0,dx=-81.5px
2026-06-12T13:46:19.052334,4004,smile,80.5,179.5,
2026-06-12T13:46:19.052710,4004,move_up,80.5,179.5,dy=-26.0px
2026-06-12T13:46:21.620809,4080,smile,328.5,217.0,
2026-06-12T13:46:21.621210,4080,move_right,328.5,217.0,dx=249.5px
2026-06-12T13:46:21.621487,4080,move_down,328.5,217.0,dy=47.0px
2026-06-12T13:46:22.020095,4092,smile,324.0,221.5,
2026-06-12T13:46:22.292788,4100,move_up,305.5,157.0,dy=-51.0px
2026-06-12T13:46:22.564862,4108,smile,321.5,170.0,
2026-06-12T13:46:23.108346,4124,blink,258.5,183.0,
2026-06-12T13:46:23.108688,4124,smile,258.5,183.0,
2026-06-12T13:46:23.109022,4124,move_left,258.5,183.0,dx=-57.5px
2026-06-12T13:46:23.363752,4132,move_right,195.5,188.5,dx=26.5px
2026-06-12T13:46:23.763986,4144,smile,85.0,179.5,
2026-06-12T13:46:23.764359,4144,move_left,85.0,179.5,dx=-110.5px
2026-06-12T13:46:24.036648,4152,move_right,119.0,201.5,dx=28.5px
2026-06-12T13:46:24.037264,4152,move_down,119.0,201.5,dy=22.5px
2026-06-12T13:46:24.179958,4156,smile,113.5,192.0,
2026-06-12T13:46:24.580428,4168,smile,111.5,196.0,
2026-06-12T13:46:24.984809,4180,smile,106.0,198.0,
2026-06-12T13:46:25.379268,4192,smile,107.5,202.5,
2026-06-12T13:46:25.781129,4204,smile,105.5,204.5,
2026-06-12T13:46:26.179323,4216,smile,105.5,207.5,
2026-06-12T13:46:26.596372,4228,smile,108.0,210.5,
2026-06-12T13:46:26.995609,4240,smile,124.0,220.5,
2026-06-12T13:46:27.127009,4244,move_right,152.0,216.5,dx=28.0px
2026-06-12T13:46:27.524168,4256,move_right,259.5,237.0,dx=57.0px
2026-06-12T13:46:28.198083,4276,smile,454.0,192.5,
2026-06-12T13:46:28.198496,4276,move_right,454.0,192.5,dx=194.5px
2026-06-12T13:46:28.198921,4276,move_up,454.0,192.5,dy=-44.5px
2026-06-12T13:46:28.596256,4288,smile,420.0,170.0,
2026-06-12T13:46:28.995068,4300,move_down,411.0,225.5,dy=35.0px
2026-06-12T13:46:29.411596,4312,smile,389.5,245.5,
2026-06-12T13:46:29.667554,4320,move_left,364.5,264.0,dx=-22.5px
2026-06-12T13:46:29.940263,4328,move_right,402.0,275.5,dx=26.0px
2026-06-12T13:46:30.612111,4348,blink,460.0,293.5,
2026-06-12T13:46:33.155770,4424,move_left,430.5,282.0,dx=-29.5px
2026-06-12T13:46:34.645383,4468,blink,422.0,280.5,
2026-06-12T13:46:35.172274,4484,smile,374.0,259.5,
2026-06-12T13:46:35.172672,4484,move_left,374.0,259.5,dx=-21.5px
2026-06-12T13:46:35.843411,4504,blink,372.5,261.0,
2026-06-12T13:46:35.999867,4508,move_left,315.0,251.5,dx=-57.5px
2026-06-12T13:46:36.389456,4520,move_left,262.0,244.5,dx=-22.0px
2026-06-12T13:46:36.516379,4524,smile,247.0,238.5,
2026-06-12T13:46:36.765849,4532,move_right,308.0,248.5,dx=44.5px
2026-06-12T13:46:37.563378,4556,smile,519.0,153.0,
2026-06-12T13:46:37.563764,4556,move_right,519.0,153.0,dx=211.0px
2026-06-12T13:46:37.564322,4556,move_up,519.0,153.0,dy=-95.5px
2026-06-12T13:46:37.834716,4564,move_down,538.0,184.5,dy=27.0px
2026-06-12T13:46:37.963444,4568,smile,551.5,193.5,
2026-06-12T13:46:41.077151,4660,smile,521.5,237.0,
2026-06-12T13:46:41.077536,4660,move_left,521.5,237.0,dx=-30.0px
2026-06-12T13:46:41.077897,4660,move_down,521.5,237.0,dy=43.5px
2026-06-12T13:46:42.548661,4704,move_left,246.0,227.5,dx=-275.5px
2026-06-12T13:46:44.036589,4748,move_left,250.0,256.5,dx=-71.5px
2026-06-12T13:47:05.123465,5220,blink,252.0,260.5,
2026-06-12T13:47:31.877860,5756,blink,268.5,261.5,
2026-06-12T13:47:31.878560,5756,move_right,268.5,261.5,dx=31.5px
