timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T18:48:55.255950,104,smile,100.0,141.5,
2026-06-12T18:48:56.199021,132,blink,139.5,137.0,
2026-06-12T18:48:56.873188,152,smile,154.0,142.5,
2026-06-12T18:48:57.399496,168,smile,144.5,147.5,
2026-06-12T18:48:58.487554,200,smile,140.5,147.0,
2026-06-12T18:49:02.952706,316,smile,79.0,124.0,
2026-06-12T18:49:03.765492,328,smile,81.0,127.0,
2026-06-12T18:49:04.606704,340,smile,82.5,127.0,
2026-06-12T18:49:05.858438,360,smile,87.5,130.5,
2026-06-12T18:49:06.696339,372,smile,87.0,130.5,
2026-06-12T18:49:07.203821,384,smile,88.0,131.0,
2026-06-12T18:49:08.007290,408,smile,90.0,132.5,
2026-06-12T18:49:08.410677,420,smile,93.5,117.5,
2026-06-12T18:49:08.809264,432,smile,105.0,145.0,
2026-06-12T18:49:09.748685,460,smile,173.5,133.0,
2026-06-12T18:49:10.283595,476,move_right,276.5,139.0,dx=26.0px
2026-06-12T18:49:10.553749,484,smile,285.5,123.0,
2026-06-12T18:49:10.948719,496,smile,367.0,95.5,
2026-06-12T18:49:10.949136,496,move_right,367.0,95.5,dx=25.5px
2026-06-12T18:49:11.220370,504,blink,438.5,78.5,
2026-06-12T18:49:22.896257,852,smile,99.0,182.0,
2026-06-12T18:49:22.896729,852,move_left,99.0,182.0,dx=-98.5px
2026-06-12T18:49:22.897151,852,move_down,99.0,182.0,dy=31.0px
2026-06-12T18:49:23.311920,864,smile,90.0,182.0,
2026-06-12T18:49:23.312355,864,move_left,90.0,182.0,dx=-27.9px
2026-06-12T18:49:23.711916,876,smile,113.0,186.0,
2026-06-12T18:50:14.458094,2388,smile,97.5,187.5,
2026-06-12T18:50:14.858362,2400,smile,80.0,188.5,
2026-06-12T18:50:15.253484,2412,smile,103.5,194.0,
2026-06-12T18:50:15.802676,2428,smile,95.0,185.0,
